Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Avversaria,Campo,Corner,Corner avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
1,2,1,3,SAMPDORIA,home,8,4,0,0,0,0,8,14,6,1,5,2,0,0,0,2,3,2,0,3,8,0,0,FIORENTINA,2009-10,17,5,8,2,9,3,0,0
2,1,3,1,FIORENTINA,away,4,8,0,0,0,0,14,8,1,6,5,0,2,0,0,3,2,0,2,8,3,0,0,SAMPDORIA,2009-10,5,17,2,8,3,9,0,0
2,2,3,1,NAPOLI,home,5,8,0,0,0,0,15,8,3,3,5,3,1,0,0,18,24,31,19,3,3,0,0,INTER,2009-10,10,9,4,5,6,4,0,0
2,2,1,3,INTER,away,8,5,0,0,0,0,8,15,3,3,5,1,3,0,0,24,18,19,31,3,3,0,0,NAPOLI,2009-10,9,10,5,4,4,6,0,0
4,1,0,1,PARMA,home,1,2,0,0,1,0,20,13,0,3,5,1,2,0,1,19,14,12,18,2,5,1,1,LAZIO,2009-10,8,10,2,5,6,5,0,0
1,4,1,0,LAZIO,away,2,1,0,0,0,1,13,20,3,0,5,2,1,1,0,14,19,18,12,5,2,1,1,PARMA,2009-10,10,8,5,2,5,6,0,0
5,2,1,1,ROMA,home,4,8,0,0,0,0,11,16,4,2,5,3,3,0,0,36,30,21,19,6,5,0,1,PALERMO,2009-10,15,15,7,6,8,9,0,0
2,5,1,1,PALERMO,away,8,4,0,0,0,0,16,11,2,4,5,3,3,0,0,30,36,19,21,5,6,1,0,ROMA,2009-10,15,15,6,7,9,8,0,0
3,0,2,1,CHIEVOVERONA,home,3,6,0,0,0,0,9,11,4,3,5,0,0,1,1,14,9,8,11,5,4,0,0,SIENA,2009-10,10,8,5,2,5,6,0,0
0,3,1,2,SIENA,away,6,3,0,0,0,0,11,9,3,4,5,0,0,1,1,9,14,11,8,4,5,0,0,CHIEVOVERONA,2009-10,8,10,2,5,6,5,0,0
2,3,0,0,MILAN,home,3,6,0,1,0,0,13,11,6,4,5,1,0,2,1,7,7,10,4,3,4,0,0,UDINESE,2009-10,12,10,5,6,7,4,0,0
3,2,0,0,UDINESE,away,6,3,1,0,0,0,11,13,4,6,5,0,1,1,2,7,7,4,10,4,3,0,0,MILAN,2009-10,10,12,6,5,4,7,0,0
2,2,2,3,JUVENTUS,home,3,8,0,0,0,0,28,21,4,4,5,2,2,0,0,12,18,12,4,6,1,0,0,GENOA,2009-10,5,15,2,7,3,8,0,0
2,2,3,2,GENOA,away,8,3,0,0,0,0,21,28,4,4,5,2,2,0,0,18,12,4,12,1,6,0,0,JUVENTUS,2009-10,15,5,7,2,8,3,0,0
5,1,0,0,INTER,home,3,7,0,0,0,0,19,13,1,5,6,1,0,0,0,3,7,7,3,4,3,0,0,SAMPDORIA,2009-10,6,9,2,5,4,4,0,0
1,5,0,0,SAMPDORIA,away,7,3,0,0,0,0,13,19,5,1,6,0,1,0,0,7,3,3,7,3,4,0,0,INTER,2009-10,9,6,5,2,4,4,0,0
2,2,1,0,FIORENTINA,home,5,3,0,1,0,0,19,13,5,5,6,0,1,0,0,11,12,9,7,4,5,0,1,LIVORNO,2009-10,7,9,2,4,5,5,0,0
2,2,0,1,LIVORNO,away,3,5,1,0,0,0,13,19,5,5,6,1,0,0,0,12,11,7,9,5,4,1,0,FIORENTINA,2009-10,9,7,4,2,5,5,0,0
6,2,0,0,ROMA,home,7,2,0,0,1,0,12,17,8,0,6,1,1,1,0,16,9,7,9,1,5,0,0,CATANIA,2009-10,10,9,3,7,7,2,0,0
2,6,0,0,CATANIA,away,2,7,0,0,0,1,17,12,0,8,6,1,1,0,1,9,16,9,7,5,1,0,0,ROMA,2009-10,9,10,7,3,2,7,0,0
0,2,0,0,ATALANTA,home,10,5,0,0,0,0,9,13,3,3,6,1,1,0,0,1,2,5,1,4,8,0,0,CHIEVOVERONA,2009-10,15,9,6,4,9,5,0,0
2,0,0,0,CHIEVOVERONA,away,5,10,0,0,0,0,13,9,3,3,6,1,1,0,0,2,1,1,5,8,4,0,0,ATALANTA,2009-10,9,15,4,6,5,9,0,0
