Ammonizioni,Ammonizioni avversario,Avversaria,Campo,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
1,4,PIACENZA,home,0,0,,,20,2,1,UDINESE,2002-03
4,1,UDINESE,away,0,0,,,20,1,2,PIACENZA,2002-03
0,0,ATALANTA,home,0,0,,,20,2,3,BOLOGNA,2002-03
0,0,BOLOGNA,away,0,0,,,20,3,2,ATALANTA,2002-03
1,1,CHIEVOVERONA,home,0,0,,,20,0,0,BRESCIA,2002-03
1,1,BRESCIA,away,0,0,,,20,0,0,CHIEVOVERONA,2002-03
2,3,PARMA,home,0,0,,,20,2,2,COMO,2002-03
3,2,COMO,away,0,0,,,20,2,2,PARMA,2002-03
2,1,REGGINA,home,0,0,,,20,3,0,INTER,2002-03
1,2,INTER,away,0,0,,,20,0,3,REGGINA,2002-03
0,1,TORINO,home,1,0,,,20,1,1,LAZIO,2002-03
1,0,LAZIO,away,0,1,,,20,1,1,TORINO,2002-03
2,2,ROMA,home,0,0,,,20,1,1,MODENA,2002-03
2,2,MODENA,away,0,0,,,20,1,1,ROMA,2002-03
2,2,MILAN,home,0,0,,,20,1,0,PERUGIA,2002-03
2,2,PERUGIA,away,0,0,,,20,0,1,MILAN,2002-03
1,3,INTER,home,1,0,0,1,21,2,1,CHIEVOVERONA,2002-03
3,1,CHIEVOVERONA,away,0,1,1,0,21,1,2,INTER,2002-03
2,4,BRESCIA,home,0,0,0,0,21,0,0,ROMA,2002-03
4,2,ROMA,away,0,0,0,0,21,0,0,BRESCIA,2002-03
2,0,UDINESE,home,0,0,0,0,21,0,0,ATALANTA,2002-03
0,2,ATALANTA,away,0,0,0,0,21,0,0,UDINESE,2002-03
3,2,PERUGIA,home,0,0,0,0,21,1,1,EMPOLI,2002-03
2,3,EMPOLI,away,0,0,0,0,21,1,1,PERUGIA,2002-03
