Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
GENOA,home,0,0,24,1,2,PESCARA,1992-93
PESCARA,away,0,0,24,2,1,GENOA,1992-93
NAPOLI,home,0,0,24,1,1,ROMA,1992-93
ROMA,away,0,0,24,1,1,NAPOLI,1992-93
FIORENTINA,home,0,1,24,2,0,SAMPDORIA,1992-93
SAMPDORIA,away,1,0,24,0,2,FIORENTINA,1992-93
TORINO,home,0,0,24,1,0,UDINESE,1992-93
UDINESE,away,0,0,24,0,1,TORINO,1992-93
JUVENTUS,home,0,0,25,0,1,ANCONA,1992-93
ANCONA,away,0,0,25,1,0,JUVENTUS,1992-93
ROMA,home,0,0,25,0,2,BRESCIA,1992-93
BRESCIA,away,0,0,25,2,0,ROMA,1992-93
CAGLIARI,home,0,0,25,2,1,FIORENTINA,1992-93
FIORENTINA,away,0,0,25,1,2,CAGLIARI,1992-93
SAMPDORIA,home,0,0,25,0,0,GENOA,1992-93
GENOA,away,0,0,25,0,0,SAMPDORIA,1992-93
PESCARA,home,0,1,25,2,0,INTER,1992-93
INTER,away,1,0,25,0,2,PESCARA,1992-93
UDINESE,home,1,0,25,4,0,LAZIO,1992-93
LAZIO,away,0,1,25,0,4,UDINESE,1992-93
ATALANTA,home,0,0,25,1,0,NAPOLI,1992-93
NAPOLI,away,0,0,25,0,1,ATALANTA,1992-93
FOGGIA,home,0,0,25,4,0,PARMA,1992-93
PARMA,away,0,0,25,0,4,FOGGIA,1992-93
MILAN,home,0,0,25,1,1,TORINO,1992-93
TORINO,away,0,0,25,1,1,MILAN,1992-93
NAPOLI,home,0,0,26,2,2,MILAN,1992-93
MILAN,away,0,0,26,2,2,NAPOLI,1992-93
ANCONA,home,0,1,26,1,1,BRESCIA,1992-93
BRESCIA,away,1,0,26,1,1,ANCONA,1992-93
GENOA,home,0,0,26,3,0,CAGLIARI,1992-93
CAGLIARI,away,0,0,26,0,3,GENOA,1992-93
ATALANTA,home,0,1,26,1,0,FOGGIA,1992-93
FOGGIA,away,1,0,26,0,1,ATALANTA,1992-93
PARMA,home,0,0,26,0,2,PESCARA,1992-93
PESCARA,away,0,0,26,2,0,PARMA,1992-93
FIORENTINA,home,1,0,26,1,1,ROMA,1992-93
